/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core NGRIP [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824867, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: https://en.wikipedia.org/wiki/North_Greenland_Ice_Core_Project)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 8 m * MAXIMUM DEPTH, ice/snow: 3082 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	15986 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
325	1.61692		1.36229	0.03904	0.1937	0.8791	50.19
326	1.62279		1.36792	0.04518	0.1938	0.8787	50.18
327	1.62867		1.37422	0.04231	0.1987	0.8783	50.18
328	1.63439		1.38027	0.04269	0.2039	0.8779	50.18
329	1.63998		1.38633	0.04017	0.1856	0.8776	50.17
330	1.64612		1.39205	0.03691	0.2204	0.8772	50.17
331	1.65129		1.39732	0.04000	0.1935	0.8768	50.17
332	1.65719		1.40285	0.04410	0.1752	0.8764	50.16
333	1.66370		1.40856	0.04308	0.1899	0.8761	50.16
334	1.66971		1.41481	0.04274	0.2012	0.8757	50.16
335	1.67539		1.42091	0.03710	0.1969	0.8754	50.16
336	1.68119		1.42690	0.04532	0.1896	0.8751	50.16
337	1.68721		1.43228	0.03848	0.1776	0.8748	50.16
338	1.69365		1.43858	0.03952	0.2042	0.8744	50.16
339	1.69925		1.44406	0.03862	0.1805	0.8741	50.16
340	1.70559		1.44964	0.04041	0.1806	0.8737	50.16
341	1.71193		1.45515	0.04514	0.1946	0.8734	50.16
342	1.71781		1.46100	0.04102	0.2056	0.8731	50.16
343	1.72338		1.46729	0.04202	0.1949	0.8727	50.16
344	1.72926		1.47314	0.04045	0.2023	0.8723	50.16
345	1.73493		1.47906	0.03632	0.1951	0.8720	50.16
346	1.74081		1.48467	0.04003	0.2115	0.8716	50.16
347	1.74623		1.48999	0.04169	0.1961	0.8713	50.15
348	1.75208		1.49578	0.04047	0.1788	0.8709	50.15
349	1.75850		1.50169	0.04400	0.2064	0.8706	50.14
350	1.76407		1.50766	0.04487	0.1918	0.8703	50.13
351	1.77006		1.51402	0.03782	0.1754	0.8700	50.12
352	1.77661		1.52007	0.04175	0.1592	0.8697	50.10
353	1.78384		1.52574	0.04192	0.1937	0.8694	50.09
354	1.78977		1.53177	0.04259	0.2037	0.8691	50.07
355	1.79542		1.53786	0.04316	0.1990	0.8688	50.05
356	1.80121		1.54406	0.03894	0.1917	0.8685	50.03
357	1.80721		1.55000	0.04306	0.2046	0.8681	50.01
358	1.81284		1.55601	0.04270	0.2095	0.8677	49.99
359	1.81835		1.56227	0.03878	0.1817	0.8673	49.97
360	1.82469		1.56816	0.04620	0.1989	0.8668	49.95
361	1.83049		1.57459	0.04382	0.1884	0.8663	49.92
362	1.83662		1.58114	0.03492	0.2053	0.8658	49.90
363	1.84225		1.58660	0.04132	0.2069	0.8652	49.88
364	1.84783		1.59253	0.04256	0.1810	0.8646	49.86
365	1.85422		1.59881	0.04355	0.2103	0.8640	49.84
366	1.85973		1.60525	0.03981	0.1965	0.8634	49.82
367	1.86562		1.61117	0.04146	0.1974	0.8629	49.80
368	1.87149		1.61711	0.04143	0.1609	0.8623	49.78
369	1.87870		1.62323	0.04039	0.1663	0.8619	49.76
370	1.88568		1.62931	0.03934	0.1647	0.8614	49.74
371	1.89273		1.63523	0.04321	0.2212	0.8610	49.73
372	1.89798		1.64110	0.03638	0.1890	0.8606	49.72
373	1.90412		1.64722	0.04143	0.1919	0.8603	49.70
374	1.91018		1.65271	0.04576	0.2430	0.8600	49.69
375	1.91497		1.65891	0.04221	0.2184	0.8597	49.68
376	1.92029		1.66544	0.03984	0.2217	0.8594	49.67
377	1.92554		1.67149	0.04069	0.1985	0.8591	49.66
378	1.93140		1.67733	0.04226	0.2044	0.8588	49.66
379	1.93710		1.68334	0.04512	0.2606	0.8585	49.65
380	1.94157		1.68965	0.03926	0.2337	0.8581	49.64
381	1.94656		1.69588	0.04443	0.1688	0.8578	49.64
382	1.95346		1.70190	0.04442	0.1792	0.8575	49.64
383	1.95997		1.70836	0.04124	0.1704	0.8571	49.64
384	1.96682		1.71460	0.03905	0.2206	0.8568	49.64
385	1.97211		1.72044	0.04120	0.2248	0.8564	49.64
386	1.97730		1.72626	0.03967	0.2343	0.8560	49.64
387	1.98229		1.73212	0.04116	0.2491	0.8557	49.65
388	1.98698		1.73798	0.03798	0.1841	0.8553	49.65
389	1.99333		1.74370	0.04096	0.1869	0.8549	49.66
390	1.99959		1.74943	0.04493	0.1511	0.8545	49.67
391	2.00734		1.75568	0.03892	0.2038	0.8540	49.68
392	2.01308		1.76169	0.04190	0.2238	0.8536	49.69
393	2.01832		1.76758	0.04580	0.2195	0.8531	49.70
394	2.02366		1.77397	0.05049	0.1924	0.8526	49.72
395	2.02975		1.78101	0.04149	0.2251	0.8522	49.73
396	2.03496		1.78751	0.03947	0.1756	0.8517	49.75
397	2.04165		1.79332	0.04042	0.1766	0.8513	49.76
398	2.04830		1.79910	0.04195	0.2243	0.8509	49.78
399	2.05354		1.80506	0.03933	0.1694	0.8505	49.80
400	2.06048		1.81086	0.03842	0.1791	0.8502	49.81
401	2.06705		1.81642	0.04432	0.2114	0.8498	49.83
402	2.07261		1.82249	0.04051	0.2073	0.8495	49.85
403	2.07829		1.82850	0.04278	0.2079	0.8492	49.86
404	2.08396		1.83452	0.03930	0.2343	0.8490	49.87
405	2.08898		1.84033	0.03905	0.2132	0.8487	49.89
406	2.09451		1.84593	0.04471	0.1937	0.8485	49.90
407	2.10060		1.85206	0.03853	0.2019	0.8481	49.91
408	2.10644		1.85790	0.04122	0.1599	0.8477	49.92
409	2.11381		1.86374	0.04101	0.1992	0.8473	49.93
410	2.11974		1.86971	0.05027	0.1847	0.8468	49.94
411	2.12613		1.87664	0.04866	0.2056	0.8462	49.94
412	2.13188		1.88383	0.04915	0.1970	0.8457	49.95
413	2.13788		1.89103	0.03658	0.1828	0.8451	49.95
414	2.14435		1.89685	0.04280	0.1728	0.8444	49.96
415	2.15121		1.90299	0.04211	0.1808	0.8438	49.96
416	2.15776		1.90926	0.03323	0.2075	0.8432	49.96
417	2.16348		1.91437	0.03695	0.1839	0.8427	49.96
418	2.16993		1.91975	0.03640	0.2057	0.8423	49.96
419	2.17570		1.92513	0.04065	0.2117	0.8419	49.96
420	2.18131		1.93106	0.03947	0.1914	0.8416	49.95
421	2.18752		1.93686	0.03096	0.1871	0.8414	49.95
422	2.19387		1.94145	0.03453	0.1735	0.8412	49.95
423	2.20073		1.94648	0.04783	0.1846	0.8411	49.94
424	2.20717		1.95343	0.04509	0.2010	0.8411	49.93
425	2.21308		1.95997	0.03667	0.1936	0.8411	49.93
426	2.21922		1.96684	0.03602	0.2069	0.8411	49.92
427	2.22497		1.97218	0.03458	0.1713	0.8409	49.91
428	2.23191		1.97744	0.03253	0.2120	0.8407	49.91
429	2.23752		1.98250	0.04402	0.1764	0.8403	49.90
430	2.24427		1.98742	0.04334	0.2070	0.8399	49.89
431	2.25002		1.99395	0.05360	0.1865	0.8394	49.88
432	2.25641		2.00061	0.03972	0.2097	0.8388	49.87
433	2.26209		2.00831	0.03615	0.1981	0.8382	49.86
434	2.26811		2.01419	0.03684	0.1982	0.8374	49.85
435	2.27414		2.01969	0.04201	0.2033	0.8367	49.83
436	2.28002		2.02550	0.03591	0.2211	0.8360	49.82
437	2.28543		2.03156	0.04601	0.2094	0.8354	49.81
438	2.29114		2.03756	0.04576	0.1765	0.8347	49.80
439	2.29793		2.04450	0.03603	0.2113	0.8342	49.79
440	2.30360		2.05074	0.04771	0.1704	0.8336	49.78
441	2.31064		2.05701	0.04510	0.2342	0.8331	49.78
442	2.31577		2.06396	0.03821	0.1851	0.8327	49.77
443	2.32226		2.07015	0.03896	0.1824	0.8323	49.77
444	2.32884		2.07592	0.03884	0.2316	0.8319	49.76
445	2.33404		2.08171	0.03447	0.1781	0.8315	49.76
446	2.34079		2.08709	0.03787	0.2116	0.8312	49.76
447	2.34647		2.09252	0.04169	0.1967	0.8308	49.76
448	2.35259		2.09851	0.03998	0.1940	0.8304	49.77
449	2.35880		2.10452	0.05050	0.1933	0.8301	49.77
450	2.36503		2.11149	0.04055	0.2313	0.8297	49.78
451	2.37024		2.11795	0.04375	0.1716	0.8293	49.79
452	2.37727		2.12427	0.03933	0.2001	0.8289	49.80
453	2.38330		2.13027	0.04106	0.1819	0.8286	49.81
454	2.38993		2.13627	0.04426	0.2136	0.8282	49.82
455	2.39558		2.14268	0.04685	0.1833	0.8278	49.83
456	2.40217		2.14951	0.04479	0.1917	0.8274	49.84
457	2.40848		2.15622	0.03905	0.1883	0.8270	49.84
458	2.41490		2.16221	0.04407	0.1973	0.8266	49.85
459	2.42103		2.16860	0.03939	0.1830	0.8261	49.86
460	2.42765		2.17461	0.03829	0.2097	0.8257	49.87
461	2.43342		2.18035	0.04234	0.1815	0.8252	49.87
462	2.44010		2.18658	0.04328	0.1738	0.8247	49.87
463	2.44708		2.19305	0.04668	0.2078	0.8241	49.88
464	2.45291		2.20000	0.04383	0.1778	0.8236	49.88
465	2.45974		2.20665	0.04023	0.1847	0.8231	49.88
466	2.46632		2.21275	0.04174	0.2022	0.8227	49.88
467	2.47233		2.21903	0.03905	0.1805	0.8223	49.87
468	2.47907		2.22490	0.03810	0.2138	0.8219	49.87
469	2.48476		2.23196	0.04579	0.1860	0.8216	49.87
470	2.49130		2.23773	0.03901	0.2287	0.8211	49.86
471	2.49663		2.24459	0.04332	0.1639	0.8208	49.86
472	2.50406		2.25050	0.03853	0.1800	0.8205	49.85
473	2.51083		2.25694	0.04080	0.1809	0.8203	49.85
474	2.51757		2.26276	0.04081	0.1940	0.8201	49.84
475	2.52385		2.26888	0.03980	0.2136	0.8198	49.84
476	2.52956		2.27499	0.03662	0.2286	0.8196	49.83
477	2.53490		2.28087	0.03867	0.1962	0.8193	49.82
478	2.54112		2.28646	0.04586	0.1817	0.8190	49.81
479	2.54784		2.29252	0.03833	0.1867	0.8186	49.80
480	2.55438		2.29922	0.04751	0.2188	0.8183	49.80
481	2.55997		2.30540	0.03457	0.1959	0.8178	49.79
482	2.56621		2.31210	0.04374	0.1918	0.8174	49.78
483	2.57259		2.31781	0.04439	0.1885	0.8169	49.76
484	2.57908		2.32454	0.03496	0.1797	0.8164	49.75
485	2.58590		2.33082	0.04543	0.2360	0.8159	49.74
486	2.59109		2.33683	0.03822	0.1983	0.8155	49.73
487	2.59728		2.34332	0.04111	0.1953	0.8150	49.72
488	2.60356		2.34939	0.04166	0.2258	0.8146	49.71
489	2.60899		2.35574	0.04179	0.1721	0.8143	49.70
490	2.61613		2.36213	0.03491	0.1936	0.8139	49.68
491	2.62248		2.36796	0.04707	0.1808	0.8136	49.67
492	2.62927		2.37437	0.04037	0.2117	0.8133	49.66
493	2.63508		2.38094	0.04442	0.1876	0.8131	49.65
494	2.64164		2.38748	0.03784	0.2077	0.8128	49.64
495	2.64756		2.39361	0.04411	0.1964	0.8126	49.63
496	2.65383		2.40001	0.04218	0.2038	0.8123	49.62
497	2.65987		2.40654	0.04295	0.2161	0.8121	49.61
498	2.66556		2.41306	0.04100	0.1889	0.8118	49.60
499	2.67209		2.41941	0.04423	0.1763	0.8115	49.59
500	2.67908		2.42604	0.03861	0.1982	0.8112	49.58
501	2.68530		2.43216	0.04459	0.2038	0.8108	49.57
502	2.69135		2.43880	0.04657	0.2188	0.8104	49.57
503	2.69699		2.44590	0.03894	0.1999	0.8100	49.56
504	2.70317		2.45209	0.04552	0.2350	0.8096	49.55
505	2.70842		2.45896	0.04382	0.2212	0.8092	49.54
506	2.71401		2.46574	0.04004	0.2187	0.8088	49.53
507	2.71966		2.47196	0.04484	0.1758	0.8084	49.53
508	2.72670		2.47882	0.03784	0.1942	0.8080	49.52
509	2.73308		2.48470	0.03540	0.2002	0.8075	49.51
510	2.73926		2.49139	0.04936	0.2203	0.8071	49.51
511	2.74489		2.49695	0.04494	0.2265	0.8067	49.50
512	2.75036		2.50453	0.04469	0.2062	0.8063	49.49
513	2.75637		2.51147	0.04166	0.1635	0.8058	49.49
514	2.76396		2.51833	0.03783	0.1935	0.8054	49.48
515	2.77038		2.52470	0.03533	0.1750	0.8050	49.48
516	2.77748		2.53049	0.04116	0.1806	0.8045	49.47
517	2.78436		2.53615	0.04442	0.1885	0.8041	49.46
518	2.79096		2.54266	0.04322	0.1883	0.8036	49.46
519	2.79757		2.54952	0.03687	0.1742	0.8031	49.45
520	2.80472		2.55597	0.04118	0.1792	0.8026	49.45
521	2.81167		2.56191	0.04208	0.2033	0.8022	49.44
522	2.81780		2.56837	0.04281	0.2196	0.8017	49.44
523	2.82348		2.57496	0.04491	0.2176	0.8012	49.43
524	2.82922		2.58176	0.03419	0.2156	0.8008	49.43
525	2.83501		2.58807	0.04071	0.1997	0.8004	49.42
526	2.84127		2.59383	0.04133	0.2029	0.7999	49.42
527	2.84743		2.60021	0.03576	0.1958	0.7995	49.42
528	2.85382		2.60623	0.04693	0.2032	0.7991	49.41
529	2.85997		2.61267	0.04173	0.2066	0.7987	49.41
530	2.86603		2.61954	0.04469	0.2057	0.7982	49.41
531	2.87212		2.62628	0.03816	0.1886	0.7978	49.41
532	2.87877		2.63265	0.04306	0.2181	0.7974	49.41
533	2.88452		2.63903	0.03888	0.1966	0.7970	49.41
534	2.89090		2.64534	0.04109	0.2093	0.7965	49.41
535	2.89690		2.65162	0.03958	0.2030	0.7961	49.41
536	2.90309		2.65787	0.03732	0.2169	0.7956	49.41
537	2.90888		2.66380	0.04268	0.2005	0.7952	49.41
538	2.91515		2.67021	0.04573	0.2138	0.7947	49.41
539	2.92104		2.67721	0.04066	0.2112	0.7942	49.41
540	2.92700		2.68377	0.03954	0.1910	0.7938	49.42
541	2.93360		2.68999	0.03682	0.1810	0.7933	49.42
542	2.94056		2.69585	0.04030	0.2063	0.7929	49.42
543	2.94668		2.70203	0.03429	0.2139	0.7925	49.42
544	2.95257		2.70756	0.03645	0.1820	0.7921	49.42
545	2.95951		2.71319	0.03687	0.2119	0.7917	49.42
546	2.96547		2.71893	0.04589	0.1978	0.7914	49.42
547	2.97186		2.72591	0.04153	0.2182	0.7911	49.42
548	2.97765		2.73246	0.04030	0.1913	0.7907	49.42
549	2.98426		2.73876	0.03662	0.1961	0.7905	49.42
550	2.99071		2.74451	0.03564	0.2006	0.7902	49.42
551	2.99702		2.75008	0.03915	0.1768	0.7899	49.42
552	3.00418		2.75616	0.04937	0.1763	0.7895	49.42
553	3.01137		2.76382	0.04173	0.2146	0.7892	49.42
554	3.01727		2.77037	0.04475	0.1918	0.7888	49.42
555	3.02388		2.77759	0.04289	0.1832	0.7885	49.42
556	3.03081		2.78459	0.04295	0.1697	0.7881	49.42
557	3.03828		2.79132	0.04644	0.1987	0.7877	49.42
558	3.04467		2.79809	0.04516	0.2053	0.7873	49.42
559	3.05086		2.80536	0.03984	0.2024	0.7868	49.42
560	3.05714		2.81235	0.03691	0.2016	0.7864	49.43
561	3.06345		2.81854	0.03727	0.2107	0.7860	49.43
562	3.06948		2.82433	0.03761	0.1694	0.7856	49.43
563	3.07700		2.83018	0.04062	0.1979	0.7851	49.44
564	3.08343		2.83615	0.03998	0.1749	0.7847	49.44
565	3.09072		2.84250	0.04143	0.1798	0.7843	49.45
566	3.09781		2.84882	0.03992	0.1778	0.7839	49.45
567	3.10499		2.85526	0.03926	0.1808	0.7835	49.46
568	3.11205		2.86150	0.03943	0.1765	0.7831	49.46
569	3.11928		2.86768	0.04300	0.2008	0.7826	49.46
570	3.12565		2.87403	0.03719	0.1944	0.7822	49.47
571	3.13222		2.88052	0.04126	0.1940	0.7818	49.47
572	3.13881		2.88658	0.03876	0.1870	0.7814	49.47
573	3.14566		2.89295	0.03995	0.2006	0.7810	49.47
574	3.15204		2.89913	0.03740	0.1986	0.7806	49.47
575	3.15849		2.90528	0.04045	0.2153	0.7802	49.47
576	3.16444		2.91138	0.03796	0.2188	0.7799	49.47
577	3.17030		2.91761	0.03844	0.2196	0.7795	49.47
578	3.17614		2.92365	0.04251	0.1869	0.7791	49.47
579	3.18301		2.93002	0.04488	0.1794	0.7787	49.47
580	3.19017		2.93693	0.03938	0.1999	0.7784	49.47
581	3.19660		2.94361	0.03797	0.2028	0.7780	49.46
582	3.20293		2.94973	0.04464	0.2228	0.7776	49.46
583	3.20871		2.95631	0.03836	0.2009	0.7772	49.46
584	3.21511		2.96285	0.04108	0.1876	0.7769	49.45
585	3.22197		2.96918	0.03724	0.2125	0.7765	49.45
586	3.22803		2.97534	0.04247	0.2275	0.7761	49.45
587	3.23370		2.98177	0.04141	0.1997	0.7757	49.44
588	3.24015		2.98842	0.04046	0.1950	0.7753	49.44
589	3.24677		2.99492	0.04592	0.1801	0.7749	49.44
590	3.25393		3.00197	0.04602	0.1725	0.7745	49.43
591	3.26141		3.00931	0.03782	0.2055	0.7741	49.43
592	3.26770		3.01573	0.04229	0.1721	0.7736	49.42
593	3.27521		3.02232	0.04426	0.2289	0.7732	49.42
594	3.28086		3.02934	0.04776	0.2146	0.7728	49.41
595	3.28689		3.03689	0.04078	0.2060	0.7723	49.41
596	3.29318		3.04365	0.03946	0.1932	0.7719	49.40
597	3.29988		3.05003	0.04004	0.1972	0.7715	49.40
598	3.30645		3.05646	0.04021	0.1718	0.7711	49.39
599	3.31400		3.06293	0.03847	0.1789	0.7706	49.38
600	3.32126		3.06915	0.04786	0.2135	0.7702	49.37
601	3.32734		3.07678	0.04096	0.2070	0.7698	49.37
602	3.33361		3.08342	0.04508	0.2036	0.7693	49.36
603	3.34000		3.09090	0.04555	0.2197	0.7689	49.35
604	3.34592		3.09819	0.04482	0.2178	0.7685	49.35
605	3.35189		3.10555	0.04590	0.2216	0.7680	49.34
606	3.35777		3.11282	0.04036	0.1905	0.7676	49.33
607	3.36461		3.12013	0.04169	0.2247	0.7671	49.33
608	3.37041		3.12669	0.04177	0.2061	0.7667	49.32
609	3.37674		3.13344	0.04336	0.1855	0.7663	49.32
610	3.38377		3.14025	0.04041	0.1984	0.7658	49.31
611	3.39036		3.14716	0.04083	0.1944	0.7654	49.31
612	3.39708		3.15371	0.03766	0.1901	0.7650	49.31
613	3.40395		3.16017	0.03706	0.2034	0.7645	49.31
614	3.41038		3.16622	0.03692	0.2137	0.7641	49.31
615	3.41651		3.17219	0.04339	0.1904	0.7637	49.31
616	3.42338		3.17851	0.04521	0.1839	0.7633	49.31
617	3.43051		3.18562	0.04057	0.1957	0.7629	49.31
618	3.43720		3.19264	0.04000	0.2009	0.7625	49.31
619	3.44373		3.19915	0.03642	0.2044	0.7621	49.31
620	3.45015		3.20537	0.04040	0.2113	0.7617	49.31
621	3.45637		3.21152	0.04326	0.1866	0.7613	49.32
622	3.46341		3.21825	0.03821	0.1717	0.7609	49.32
623	3.47106		3.22485	0.03571	0.2046	0.7605	49.32
624	3.47749		3.23082	0.04070	0.2080	0.7601	49.32
625	3.48381		3.23698	0.04169	0.1882	0.7598	49.32
626	3.49081		3.24362	0.04515	0.1795	0.7594	49.33
627	3.49814		3.25065	0.04715	0.2544	0.7590	49.33
628	3.50332		3.25812	0.03958	0.1928	0.7587	49.33
629	3.51016		3.26505	0.04728	0.1834	0.7583	49.33
630	3.51735		3.27218	0.03554	0.2125	0.7579	49.33
631	3.52356		3.27870	0.03791	0.2053	0.7575	49.32
632	3.52999		3.28470	0.03952	0.1993	0.7571	49.32
633	3.53661		3.29103	0.04215	0.1753	0.7567	49.32
634	3.54415		3.29775	0.04131	0.2031	0.7563	49.31
635	3.55066		3.30451	0.04744	0.1807	0.7559	49.31
636	3.55799		3.31195	0.04554	0.2065	0.7555	49.30
637	3.56439		3.31946	0.03816	0.2098	0.7551	49.30
638	3.57071		3.32598	0.03934	0.1995	0.7547	49.29
639	3.57735		3.33238	0.03998	0.2132	0.7543	49.28
640	3.58357		3.33891	0.03706	0.2038	0.7539	49.27
641	3.59008		3.34507	0.03738	0.2178	0.7535	49.26
642	3.59617		3.35120	0.03675	0.2125	0.7531	49.25
643	3.60242		3.35725	0.04275	0.1836	0.7527	49.23
644	3.60965		3.36420	0.03624	0.1945	0.7523	49.22
645	3.61649		3.37023	0.03950	0.2078	0.7519	49.21
646	3.62289		3.37672	0.04105	0.1910	0.7516	49.20
647	3.62986		3.38394	0.04190	0.1835	0.7512	49.19
648	3.63711		3.39071	0.04285	0.1930	0.7508	49.17
649	3.64401		3.39763	0.04006	0.2224	0.7504	49.16
650	3.65000		3.40464	0.03812	0.2032	0.7500	49.16
651	3.65656		3.41120	0.04280	0.2100	0.7496	49.15
652	3.66291		3.41759	0.04432	0.1992	0.7493	49.14
653	3.66961		3.42467	0.04164	0.2175	0.7489	49.13
654	3.67575		3.43187	0.04057	0.1911	0.7485	49.13
655	3.68274		3.43867	0.03987	0.2068	0.7482	49.13
656	3.68921		3.44530	0.03857	0.2027	0.7478	49.13
657	3.69580		3.45179	0.04366	0.1939	0.7474	49.13
658	3.70270		3.45835	0.04748	0.1984	0.7471	49.13
659	3.70945		3.46569	0.03984	0.2068	0.7467	49.13
660	3.71593		3.47308	0.03920	0.1830	0.7463	49.14
661	3.72325		3.47957	0.04334	0.2143	0.7459	49.14
662	3.72950		3.48621	0.04545	0.1974	0.7456	49.15
663	3.73630		3.49342	0.03210	0.1756	0.7452	49.16
664	3.74394		3.50006	0.04237	0.2068	0.7448	49.17
665	3.75043		3.50593	0.04458	0.1906	0.7444	49.18
666	3.75748		3.51299	0.03852	0.2012	0.7440	49.19
667	3.76416		3.51986	0.03989	0.2132	0.7436	49.20
668	3.77047		3.52623	0.04111	0.2101	0.7432	49.21
669	3.77687		3.53282	0.04675	0.2101	0.7428	49.22
670	3.78328		3.53992	0.04038	0.1926	0.7424	49.24
671	3.79028		3.54707	0.04540	0.2124	0.7420	49.25
672	3.79662		3.55400	0.03974	0.2478	0.7416	49.27
673	3.80206		3.56095	0.03915	0.2050	0.7413	49.28
674	3.80864		3.56735	0.04119	0.1881	0.7410	49.29
675	3.81582		3.57385	0.03856	0.1964	0.7407	49.31
676	3.82269		3.58032	0.04038	0.2097	0.7404	49.32
677	3.82914		3.58670	0.03781	0.1899	0.7402	49.33
678	3.83625		3.59303	0.03878	0.2109	0.7399	49.34
679	3.84266		3.59923	0.04490	0.1947	0.7396	49.35
680	3.84960		3.60602	0.04241	0.2145	0.7393	49.36
681	3.85591		3.61313	0.03970	0.1655	0.7389	49.37
682	3.86409		3.61983	0.04320	0.1970	0.7385	49.37
683	3.87096		3.62664	0.04496	0.1635	0.7381	49.37
684	3.87925		3.63390	0.04276	0.2032	0.7376	49.38
685	3.88592		3.64112	0.03710	0.1982	0.7371	49.38
686	3.89276		3.64764	0.04061	0.1815	0.7366	49.38
687	3.90024		3.65415	0.03929	0.2189	0.7360	49.37
688	3.90645		3.66075	0.04142	0.1998	0.7355	49.37
689	3.91325		3.66752	0.03793	0.2318	0.7350	49.36
690	3.91912		3.67402	0.04317	0.2241	0.7345	49.36
691	3.92520		3.68098	0.03989	0.2273	0.7340	49.35
692	3.93119		3.68777	0.04069	0.2042	0.7335	49.34
693	3.93787		3.69454	0.04255	0.1717	0.7330	49.33
694	3.94581		3.70159	0.04157	0.1594	0.7325	49.32
695	3.95438		3.70858	0.03987	0.1826	0.7321	49.31
696	3.96186		3.71529	0.04502	0.2543	0.7316	49.30
697	3.96724		3.72276	0.03845	0.2410	0.7311	49.29
698	3.97291		3.72928	0.04174	0.2171	0.7306	49.28
699	3.97921		3.73626	0.03985	0.1923	0.7302	49.27
700	3.98634		3.74410	0.04324	0.2470	0.7297	49.26
701	3.99189		3.75081	0.04095	0.2529	0.7292	49.25
702	3.99731		3.75803	0.03865	0.2198	0.7288	49.25
703	4.00355		3.76486	0.03920	0.2381	0.7283	49.24
704	4.00932		3.77136	0.03920	0.2158	0.7279	49.23
705	4.01568		3.77794	0.04277	0.1731	0.7274	49.22
706	4.02363		3.78464	0.03878	0.2051	0.7270	49.22
707	4.03033		3.79168	0.03326	0.2070	0.7265	49.21
